"time","est","lcl","ucl","Method","Cancer","Age","Gender"
0.047,0.38708,0.37586,0.39863,"Observed","ColorectalCancer","All","Both"
0.047,0.23329,0.21828,0.24933,"Observed","HeadNeckCancer","All","Both"
0.047,1.41056,1.33287,1.49278,"Observed","LiverCancer","All","Both"
0.047,1.38886,1.36544,1.41268,"Observed","LungCancer","All","Both"
0.047,2.1522,2.09043,2.21578,"Observed","PancreaticCancer","All","Both"
0.047,0.06119,0.05781,0.06476,"Observed","ProstateCancer","All","Both"
0.047,1.09801,1.0519,1.14613,"Observed","StomachCancer","All","Both"
0.049,0.05414,0.05114,0.05731,"Observed","BreastCancer","All","Both"
0.049,0.38561,0.37453,0.39702,"Observed","ColorectalCancer","All","Both"
0.049,0.23316,0.21824,0.2491,"Observed","HeadNeckCancer","All","Both"
0.049,1.40419,1.32743,1.48539,"Observed","LiverCancer","All","Both"
0.049,1.38384,1.36071,1.40737,"Observed","LungCancer","All","Both"
0.049,2.14462,2.08357,2.20747,"Observed","PancreaticCancer","All","Both"
0.049,0.06114,0.05779,0.06469,"Observed","ProstateCancer","All","Both"
0.049,1.0955,1.04976,1.14322,"Observed","StomachCancer","All","Both"
0.052,0.05402,0.05106,0.05717,"Observed","BreastCancer","All","Both"
0.052,0.38415,0.3732,0.39543,"Observed","ColorectalCancer","All","Both"
0.052,0.23304,0.21821,0.24888,"Observed","HeadNeckCancer","All","Both"
0.052,1.39785,1.32201,1.47804,"Observed","LiverCancer","All","Both"
0.052,1.37884,1.35599,1.40208,"Observed","LungCancer","All","Both"
0.052,2.13708,2.07672,2.19919,"Observed","PancreaticCancer","All","Both"
0.052,0.0611,0.05777,0.06462,"Observed","ProstateCancer","All","Both"
0.052,1.09299,1.04762,1.14032,"Observed","StomachCancer","All","Both"
0.055,0.05391,0.05097,0.05703,"Observed","BreastCancer","All","Both"
0.055,0.3827,0.37187,0.39384,"Observed","ColorectalCancer","All","Both"
0.055,0.23291,0.21817,0.24865,"Observed","HeadNeckCancer","All","Both"
0.055,1.39154,1.31661,1.47074,"Observed","LiverCancer","All","Both"
0.055,1.37386,1.35128,1.39682,"Observed","LungCancer","All","Both"
0.055,2.12955,2.06989,2.19094,"Observed","PancreaticCancer","All","Both"
0.055,0.06106,0.05776,0.06455,"Observed","ProstateCancer","All","Both"
0.055,1.09049,1.04549,1.13742,"Observed","StomachCancer","All","Both"
0.058,0.0538,0.05089,0.05689,"Observed","BreastCancer","All","Both"
0.058,0.38125,0.37055,0.39226,"Observed","ColorectalCancer","All","Both"
0.058,0.23279,0.21814,0.24842,"Observed","HeadNeckCancer","All","Both"
0.058,1.38526,1.31123,1.46347,"Observed","LiverCancer","All","Both"
0.058,1.3689,1.34659,1.39157,"Observed","LungCancer","All","Both"
0.058,2.12206,2.06307,2.18273,"Observed","PancreaticCancer","All","Both"
0.058,0.06102,0.05774,0.06448,"Observed","ProstateCancer","All","Both"
0.058,1.08799,1.04336,1.13454,"Observed","StomachCancer","All","Both"
0.06,0.05369,0.0508,0.05675,"Observed","BreastCancer","All","Both"
0.06,0.37981,0.36923,0.39068,"Observed","ColorectalCancer","All","Both"
0.06,0.23266,0.2181,0.24819,"Observed","HeadNeckCancer","All","Both"
0.06,1.37901,1.30586,1.45625,"Observed","LiverCancer","All","Both"
0.06,1.36395,1.34192,1.38634,"Observed","LungCancer","All","Both"
0.06,2.11459,2.05628,2.17456,"Observed","PancreaticCancer","All","Both"
0.06,0.06097,0.05772,0.06441,"Observed","ProstateCancer","All","Both"
0.06,1.0855,1.04123,1.13166,"Observed","StomachCancer","All","Both"
0.063,0.05358,0.05072,0.05661,"Observed","BreastCancer","All","Both"
0.063,0.37837,0.36792,0.38911,"Observed","ColorectalCancer","All","Both"
0.063,0.23254,0.21807,0.24796,"Observed","HeadNeckCancer","All","Both"
0.063,1.37278,1.30051,1.44906,"Observed","LiverCancer","All","Both"
0.063,1.35902,1.33726,1.38114,"Observed","LungCancer","All","Both"
0.063,2.10715,2.0495,2.16642,"Observed","PancreaticCancer","All","Both"
0.063,0.06093,0.0577,0.06434,"Observed","ProstateCancer","All","Both"
0.063,1.08302,1.0391,1.1288,"Observed","StomachCancer","All","Both"
0.066,0.05347,0.05063,0.05647,"Observed","BreastCancer","All","Both"
0.066,0.37694,0.36661,0.38755,"Observed","ColorectalCancer","All","Both"
0.066,0.23241,0.21803,0.24774,"Observed","HeadNeckCancer","All","Both"
0.066,1.36658,1.29518,1.44192,"Observed","LiverCancer","All","Both"
0.066,1.35411,1.33262,1.37596,"Observed","LungCancer","All","Both"
0.066,2.09973,2.04275,2.15831,"Observed","PancreaticCancer","All","Both"
0.066,0.06089,0.05768,0.06427,"Observed","ProstateCancer","All","Both"
0.066,1.08054,1.03697,1.12594,"Observed","StomachCancer","All","Both"
0.068,0.05336,0.05055,0.05633,"Observed","BreastCancer","All","Both"
0.068,0.37551,0.36531,0.386,"Observed","ColorectalCancer","All","Both"
0.068,0.23228,0.21799,0.24751,"Observed","HeadNeckCancer","All","Both"
0.068,1.36041,1.28987,1.43482,"Observed","LiverCancer","All","Both"
0.068,1.34922,1.32799,1.3708,"Observed","LungCancer","All","Both"
0.068,2.09234,2.03601,2.15024,"Observed","PancreaticCancer","All","Both"
0.068,0.06085,0.05767,0.0642,"Observed","ProstateCancer","All","Both"
0.068,1.07807,1.03485,1.12309,"Observed","StomachCancer","All","Both"
0.071,0.05325,0.05046,0.0562,"Observed","BreastCancer","All","Both"
0.071,0.37409,0.364,0.38445,"Observed","ColorectalCancer","All","Both"
0.071,0.23216,0.21796,0.24729,"Observed","HeadNeckCancer","All","Both"
0.071,1.35427,1.28457,1.42775,"Observed","LiverCancer","All","Both"
0.071,1.34435,1.32337,1.36566,"Observed","LungCancer","All","Both"
0.071,2.08498,2.02928,2.14221,"Observed","PancreaticCancer","All","Both"
0.071,0.06081,0.05765,0.06414,"Observed","ProstateCancer","All","Both"
0.071,1.0756,1.03274,1.12025,"Observed","StomachCancer","All","Both"
0.074,0.05314,0.05038,0.05606,"Observed","BreastCancer","All","Both"
0.074,0.37267,0.36271,0.38291,"Observed","ColorectalCancer","All","Both"
0.074,0.23203,0.21792,0.24706,"Observed","HeadNeckCancer","All","Both"
0.074,1.34816,1.27929,1.42073,"Observed","LiverCancer","All","Both"
0.074,1.33949,1.31877,1.36054,"Observed","LungCancer","All","Both"
0.074,2.07764,2.02258,2.13421,"Observed","PancreaticCancer","All","Both"
0.074,0.06076,0.05763,0.06407,"Observed","ProstateCancer","All","Both"
0.074,1.07314,1.03062,1.11742,"Observed","StomachCancer","All","Both"
0.077,0.05303,0.05029,0.05592,"Observed","BreastCancer","All","Both"
0.077,0.37126,0.36141,0.38137,"Observed","ColorectalCancer","All","Both"
0.077,0.23191,0.21788,0.24684,"Observed","HeadNeckCancer","All","Both"
0.077,1.34207,1.27402,1.41375,"Observed","LiverCancer","All","Both"
0.077,1.33465,1.31418,1.35544,"Observed","LungCancer","All","Both"
0.077,2.07033,2.01589,2.12624,"Observed","PancreaticCancer","All","Both"
0.077,0.06072,0.05761,0.064,"Observed","ProstateCancer","All","Both"
0.077,1.07069,1.02851,1.1146,"Observed","StomachCancer","All","Both"
0.079,0.05292,0.05021,0.05579,"Observed","BreastCancer","All","Both"
0.079,0.36985,0.36013,0.37985,"Observed","ColorectalCancer","All","Both"
0.079,0.23178,0.21784,0.24662,"Observed","HeadNeckCancer","All","Both"
0.079,1.33601,1.26878,1.40681,"Observed","LiverCancer","All","Both"
0.079,1.32983,1.30961,1.35036,"Observed","LungCancer","All","Both"
0.079,2.06305,2.00922,2.11831,"Observed","PancreaticCancer","All","Both"
0.079,0.06068,0.05759,0.06393,"Observed","ProstateCancer","All","Both"
0.079,1.06824,1.0264,1.11178,"Observed","StomachCancer","All","Both"
0.082,0.05282,0.05012,0.05565,"Observed","BreastCancer","All","Both"
0.082,0.36845,0.35884,0.37832,"Observed","ColorectalCancer","All","Both"
0.082,0.23166,0.2178,0.2464,"Observed","HeadNeckCancer","All","Both"
0.082,1.32998,1.26354,1.3999,"Observed","LiverCancer","All","Both"
0.082,1.32502,1.30505,1.3453,"Observed","LungCancer","All","Both"
0.082,2.05579,2.00257,2.11042,"Observed","PancreaticCancer","All","Both"
0.082,0.06064,0.05757,0.06386,"Observed","ProstateCancer","All","Both"
0.082,1.06579,1.02429,1.10898,"Observed","StomachCancer","All","Both"
0.085,0.05271,0.05004,0.05552,"Observed","BreastCancer","All","Both"
0.085,0.36706,0.35756,0.37681,"Observed","ColorectalCancer","All","Both"
0.085,0.23153,0.21777,0.24617,"Observed","HeadNeckCancer","All","Both"
0.085,1.32397,1.25833,1.39304,"Observed","LiverCancer","All","Both"
0.085,1.32024,1.30051,1.34027,"Observed","LungCancer","All","Both"
0.085,2.04855,1.99593,2.10256,"Observed","PancreaticCancer","All","Both"
0.085,0.06059,0.05755,0.06379,"Observed","ProstateCancer","All","Both"
0.085,1.06335,1.02218,1.10618,"Observed","StomachCancer","All","Both"
0.088,0.0526,0.04996,0.05538,"Observed","BreastCancer","All","Both"
0.088,0.36567,0.35628,0.3753,"Observed","ColorectalCancer","All","Both"
0.088,0.23141,0.21773,0.24595,"Observed","HeadNeckCancer","All","Both"
0.088,1.318,1.25313,1.38622,"Observed","LiverCancer","All","Both"
0.088,1.31547,1.29597,1.33525,"Observed","LungCancer","All","Both"
0.088,2.04134,1.98931,2.09473,"Observed","PancreaticCancer","All","Both"
0.088,0.06055,0.05754,0.06373,"Observed","ProstateCancer","All","Both"
0.088,1.06092,1.02008,1.10339,"Observed","StomachCancer","All","Both"
0.09,0.05249,0.04987,0.05525,"Observed","BreastCancer","All","Both"
0.09,0.36429,0.35501,0.3738,"Observed","ColorectalCancer","All","Both"
0.09,0.23128,0.21769,0.24573,"Observed","HeadNeckCancer","All","Both"
0.09,1.31204,1.24795,1.37943,"Observed","LiverCancer","All","Both"
0.09,1.31071,1.29146,1.33026,"Observed","LungCancer","All","Both"
0.09,2.03416,1.98271,2.08694,"Observed","PancreaticCancer","All","Both"
0.09,0.06051,0.05752,0.06366,"Observed","ProstateCancer","All","Both"
0.09,1.05849,1.01798,1.10062,"Observed","StomachCancer","All","Both"
0.093,0.05238,0.04979,0.05511,"Observed","BreastCancer","All","Both"
0.093,0.36291,0.35374,0.37231,"Observed","ColorectalCancer","All","Both"
0.093,0.23116,0.21765,0.24551,"Observed","HeadNeckCancer","All","Both"
0.093,1.30612,1.24278,1.37269,"Observed","LiverCancer","All","Both"
0.093,1.30598,1.28695,1.32529,"Observed","LungCancer","All","Both"
0.093,2.027,1.97612,2.07919,"Observed","PancreaticCancer","All","Both"
0.093,0.06047,0.0575,0.06359,"Observed","ProstateCancer","All","Both"
0.093,1.05607,1.01589,1.09785,"Observed","StomachCancer","All","Both"
0.096,0.05228,0.0497,0.05498,"Observed","BreastCancer","All","Both"
0.096,0.36153,0.35248,0.37082,"Observed","ColorectalCancer","All","Both"
0.096,0.23103,0.21761,0.24529,"Observed","HeadNeckCancer","All","Both"
0.096,1.30022,1.23763,1.36598,"Observed","LiverCancer","All","Both"
0.096,1.30126,1.28246,1.32033,"Observed","LungCancer","All","Both"
0.096,2.01987,1.96955,2.07146,"Observed","PancreaticCancer","All","Both"
0.096,0.06043,0.05748,0.06352,"Observed","ProstateCancer","All","Both"
0.096,1.05365,1.01379,1.09509,"Observed","StomachCancer","All","Both"
0.099,0.05217,0.04962,0.05485,"Observed","BreastCancer","All","Both"
0.099,0.36016,0.35121,0.36934,"Observed","ColorectalCancer","All","Both"
0.099,0.23091,0.21756,0.24507,"Observed","HeadNeckCancer","All","Both"
0.099,1.29435,1.23249,1.35932,"Observed","LiverCancer","All","Both"
0.099,1.29656,1.27799,1.3154,"Observed","LungCancer","All","Both"
0.099,2.01276,1.963,2.06378,"Observed","PancreaticCancer","All","Both"
0.099,0.06038,0.05746,0.06346,"Observed","ProstateCancer","All","Both"
0.099,1.05124,1.0117,1.09234,"Observed","StomachCancer","All","Both"
0.101,0.05206,0.04953,0.05472,"Observed","BreastCancer","All","Both"
0.101,0.3588,0.34996,0.36787,"Observed","ColorectalCancer","All","Both"
0.101,0.23079,0.21752,0.24486,"Observed","HeadNeckCancer","All","Both"
0.101,1.28851,1.22737,1.35269,"Observed","LiverCancer","All","Both"
0.101,1.29188,1.27353,1.31049,"Observed","LungCancer","All","Both"
0.101,2.00567,1.95646,2.05612,"Observed","PancreaticCancer","All","Both"
0.101,0.06034,0.05744,0.06339,"Observed","ProstateCancer","All","Both"
0.101,1.04884,1.00961,1.08959,"Observed","StomachCancer","All","Both"
0.104,0.05195,0.04945,0.05458,"Observed","BreastCancer","All","Both"
0.104,0.35744,0.3487,0.3664,"Observed","ColorectalCancer","All","Both"
0.104,0.23066,0.21748,0.24464,"Observed","HeadNeckCancer","All","Both"
0.104,1.28269,1.22227,1.3461,"Observed","LiverCancer","All","Both"
0.104,1.28721,1.26908,1.3056,"Observed","LungCancer","All","Both"
0.104,1.99861,1.94994,2.04851,"Observed","PancreaticCancer","All","Both"
0.104,0.0603,0.05742,0.06332,"Observed","ProstateCancer","All","Both"
0.104,1.04644,1.00752,1.08686,"Observed","StomachCancer","All","Both"
0.107,0.05185,0.04937,0.05445,"Observed","BreastCancer","All","Both"
0.107,0.35609,0.34745,0.36494,"Observed","ColorectalCancer","All","Both"
0.107,0.23054,0.21744,0.24442,"Observed","HeadNeckCancer","All","Both"
0.107,1.2769,1.21718,1.33956,"Observed","LiverCancer","All","Both"
0.107,1.28256,1.26464,1.30073,"Observed","LungCancer","All","Both"
0.107,1.99158,1.94343,2.04092,"Observed","PancreaticCancer","All","Both"
0.107,0.06026,0.0574,0.06326,"Observed","ProstateCancer","All","Both"
0.107,1.04404,1.00544,1.08413,"Observed","StomachCancer","All","Both"
0.11,0.05174,0.04928,0.05432,"Observed","BreastCancer","All","Both"
0.11,0.35474,0.3462,0.36349,"Observed","ColorectalCancer","All","Both"
0.11,0.23041,0.2174,0.24421,"Observed","HeadNeckCancer","All","Both"
0.11,1.27114,1.2121,1.33305,"Observed","LiverCancer","All","Both"
0.11,1.27792,1.26022,1.29588,"Observed","LungCancer","All","Both"
0.11,1.98457,1.93694,2.03337,"Observed","PancreaticCancer","All","Both"
0.11,0.06022,0.05738,0.06319,"Observed","ProstateCancer","All","Both"
0.11,1.04166,1.00336,1.08142,"Observed","StomachCancer","All","Both"
0.112,0.05163,0.0492,0.05419,"Observed","BreastCancer","All","Both"
0.112,0.3534,0.34496,0.36204,"Observed","ColorectalCancer","All","Both"
0.112,0.23029,0.21735,0.24399,"Observed","HeadNeckCancer","All","Both"
0.112,1.2654,1.20704,1.32657,"Observed","LiverCancer","All","Both"
0.112,1.27331,1.25581,1.29105,"Observed","LungCancer","All","Both"
0.112,1.97759,1.93047,2.02586,"Observed","PancreaticCancer","All","Both"
0.112,0.06017,0.05736,0.06313,"Observed","ProstateCancer","All","Both"
0.112,1.03927,1.00128,1.07871,"Observed","StomachCancer","All","Both"
0.115,0.05153,0.04911,0.05406,"Observed","BreastCancer","All","Both"
0.115,0.35206,0.34372,0.3606,"Observed","ColorectalCancer","All","Both"
0.115,0.23016,0.21731,0.24378,"Observed","HeadNeckCancer","All","Both"
0.115,1.25968,1.202,1.32014,"Observed","LiverCancer","All","Both"
0.115,1.26871,1.25142,1.28624,"Observed","LungCancer","All","Both"
0.115,1.97063,1.92401,2.01838,"Observed","PancreaticCancer","All","Both"
0.115,0.06013,0.05734,0.06306,"Observed","ProstateCancer","All","Both"
0.115,1.03689,0.9992,1.07601,"Observed","StomachCancer","All","Both"
0.118,0.05142,0.04903,0.05393,"Observed","BreastCancer","All","Both"
0.118,0.35073,0.34249,0.35916,"Observed","ColorectalCancer","All","Both"
0.118,0.23004,0.21727,0.24356,"Observed","HeadNeckCancer","All","Both"
0.118,1.254,1.19697,1.31375,"Observed","LiverCancer","All","Both"
0.118,1.26412,1.24703,1.28145,"Observed","LungCancer","All","Both"
0.118,1.96369,1.91756,2.01093,"Observed","PancreaticCancer","All","Both"
0.118,0.06009,0.05732,0.06299,"Observed","ProstateCancer","All","Both"
0.118,1.03452,0.99712,1.07332,"Observed","StomachCancer","All","Both"
0.121,0.05132,0.04894,0.0538,"Observed","BreastCancer","All","Both"
0.121,0.3494,0.34126,0.35774,"Observed","ColorectalCancer","All","Both"
0.121,0.22992,0.21722,0.24335,"Observed","HeadNeckCancer","All","Both"
0.121,1.24834,1.19195,1.30739,"Observed","LiverCancer","All","Both"
0.121,1.25956,1.24266,1.27668,"Observed","LungCancer","All","Both"
0.121,1.95678,1.91114,2.00352,"Observed","PancreaticCancer","All","Both"
0.121,0.06005,0.0573,0.06293,"Observed","ProstateCancer","All","Both"
0.121,1.03215,0.99505,1.07064,"Observed","StomachCancer","All","Both"
0.123,0.05121,0.04886,0.05367,"Observed","BreastCancer","All","Both"
0.123,0.34808,0.34003,0.35632,"Observed","ColorectalCancer","All","Both"
0.123,0.22979,0.21718,0.24314,"Observed","HeadNeckCancer","All","Both"
0.123,1.2427,1.18695,1.30107,"Observed","LiverCancer","All","Both"
0.123,1.255,1.23831,1.27193,"Observed","LungCancer","All","Both"
0.123,1.9499,1.90472,1.99614,"Observed","PancreaticCancer","All","Both"
0.123,0.06001,0.05728,0.06286,"Observed","ProstateCancer","All","Both"
0.123,1.02979,0.99298,1.06797,"Observed","StomachCancer","All","Both"
0.126,0.05111,0.04878,0.05355,"Observed","BreastCancer","All","Both"
0.126,0.34676,0.3388,0.3549,"Observed","ColorectalCancer","All","Both"
0.126,0.22967,0.21713,0.24293,"Observed","HeadNeckCancer","All","Both"
0.126,1.23709,1.18196,1.29479,"Observed","LiverCancer","All","Both"
0.126,1.25047,1.23396,1.2672,"Observed","LungCancer","All","Both"
0.126,1.94303,1.89832,1.9888,"Observed","PancreaticCancer","All","Both"
0.126,0.05996,0.05726,0.0628,"Observed","ProstateCancer","All","Both"
0.126,1.02744,0.99091,1.06531,"Observed","StomachCancer","All","Both"
