Cancer,Method,Stratification,Adjustment,Sex,Age,Database,rate,shape,scale,meanlog,sdlog,mu,sigma,Q,gamma0,gamma1,gamma2,SplineLowerB,SplineInternal1,SplineUpperB,gamma3,gamma4,SplineInternal2,SplineInternal3,sexMale,age_gr18 to 39,age_gr40 to 49,age_gr50 to 59,age_gr60 to 69,age_gr80 +
Colorectal,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.7239666044298833,1.0940099451392946,0.011876049841600456,-5.8998973535824915,0.302638163605431,2.9583290857825215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Colorectal,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.008888588091096007,1.3304399769960522,0.03710594022413972,-5.8998973535824915,-0.8436515482341834,2.9583290857825215,-0.046447949865391545,0.02568487068450032,0.302638163605431,1.1834904940428035,NA,NA,NA,NA,NA,NA
Head_and_neck,Gompertz,None,None,Both,All,CPRD_GOLD,-1.7584960687366613,-0.14852081707898224,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.3328294458377724,-1.7419549362601081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,Exponential,None,None,Both,All,CPRD_GOLD,-2.238221465248912,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,-0.15219024442436457,1.880505446306888,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,1.9149651570275648,0.7178053675920169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,1.9408204188083487,0.7059962918505784,0.04199014492415617,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.7136652729433736,1.290693040325482,0.015970398976863597,-5.8998973535824915,0.3673031949588708,2.887170291635562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Head_and_neck,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.6841108735773505,1.333196880897415,-0.03944797444914297,-5.8998973535824915,-0.5671785603171224,2.887170291635562,0.13357824028323745,-0.10054715466863517,0.3673031949588708,1.284731799134823,NA,NA,NA,NA,NA,NA
Liver,Gompertz,None,None,Both,All,CPRD_GOLD,0.11111165722759381,-0.4678314556907006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.427583087880519,-0.25110054549309885,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,Exponential,None,None,Both,All,CPRD_GOLD,-0.5359433963523424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,-0.0395999295500113,-0.39495620879025145,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,-0.38763013788837214,0.579810799726431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,-0.4529157492515221,0.5874010822155924,-0.08195081711145123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,1.2952509256676907,1.2599797461220095,0.01753555374217288,-5.8998973535824915,-0.8694594321900561,2.3683215264850146,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Liver,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,2.5026742429173385,1.5946083901227446,0.06316057278137915,-5.8998973535824915,-1.9486536350010641,2.3683215264850146,-0.07005339105239887,0.034315337389100586,-0.8694594321900561,0.13677739180881215,NA,NA,NA,NA,NA,NA
Lung,Gompertz,None,None,Both,All,CPRD_GOLD,0.14479672636129007,-0.4274662368673963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.37979614919628135,-0.20046291993999402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,Exponential,None,None,Both,All,CPRD_GOLD,-0.45190179755009524,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,0.05115404066154268,-0.4517956373014125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,-0.4445788061191778,0.5040860535140116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,-0.45718802029136224,0.5056139733783973,-0.01680443054967749,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,1.5152377596358488,1.3891476995477,0.018323643793668885,-5.8998973535824915,-0.7699986386594181,2.87209308294975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Lung,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,2.0334025502541353,1.5160152355442316,0.05634391711060254,-5.8998973535824915,-1.8055527913603908,2.87209308294975,-0.0980800850922991,0.06960118075452199,-0.7699986386594181,0.07898841131863026,NA,NA,NA,NA,NA,NA
Pancreatic,Gompertz,None,None,Both,All,CPRD_GOLD,0.6110549461292586,-0.57169794360307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.3702122021452515,0.1504511797328454,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,Exponential,None,None,Both,All,CPRD_GOLD,0.0017314552097543923,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,0.1388388075486252,-0.961283882445261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,-0.943222332802631,0.4228182997320594,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,-1.0370912294475734,0.42754724167251207,-0.13006134185078275,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,2.384694451618164,1.543590368670675,0.022557868410082303,-5.8998973535824915,-1.1903671522701573,2.7265089228070623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Pancreatic,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,2.866147601212615,1.6580456676077286,0.05635865056589585,-5.8998973535824915,-2.1157077196642304,2.7265089228070623,-0.0792979879625256,0.05328584731429472,-1.1903671522701573,-0.29409528728649414,NA,NA,NA,NA,NA,NA
Prostate,Gompertz,None,None,Male,All,CPRD_GOLD,-2.7325316585648496,-0.004827856704086463,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,WeibullPH,None,None,Male,All,CPRD_GOLD,NA,-0.021835211609385764,-2.710812569530514,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,Exponential,None,None,Male,All,CPRD_GOLD,-2.751694094689586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,Log-logistic,None,None,Male,All,CPRD_GOLD,NA,0.10247246122492297,2.446751504225995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,Log-normal,None,None,Male,All,CPRD_GOLD,NA,NA,NA,2.567427120412545,0.5558732159684526,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,Generalised Gamma,None,None,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,2.7683251875642383,0.03211861197460743,0.98293476833498306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,Spline (1 knot),None,None,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-2.6405527137019336,1.0274322999439842,0.0016072822267026734,-5.8998973535824915,1.0838926116756433,2.9699225989259093,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Prostate,Spline (3 knots),None,None,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-2.812617896007381,0.973806765088368,-0.05016514370099887,-5.8998973535824915,0.24857094233515528,2.9699225989259093,0.16298060181240767,-0.14372531615881018,1.0838926116756433,1.7512228221202084,NA,NA,NA,NA,NA,NA
Stomach,Gompertz,None,None,Both,All,CPRD_GOLD,-0.02801377164632625,-0.42245054355405953,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,WeibullPH,None,None,Both,All,CPRD_GOLD,NA,-0.44890286641136157,-0.38090104309258627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,Exponential,None,None,Both,All,CPRD_GOLD,-0.7823501903198051,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,Log-logistic,None,None,Both,All,CPRD_GOLD,NA,-0.007231598679480138,-0.2214038285038951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,Log-normal,None,None,Both,All,CPRD_GOLD,NA,NA,NA,-0.18385302938628761,0.5572623913896638,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,Generalised Gamma,None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,-0.38861688249524584,0.570870608833551,-0.258466436483389,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,Spline (1 knot),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,1.6388934954703736,1.5114790917446292,0.022620155481734367,-5.8998973535824915,-0.6217826943519742,2.757579383280802,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Stomach,Spline (3 knots),None,None,Both,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,2.017256490060614,1.5927582953674313,0.05601228735430739,-5.8998973535824915,-1.6514021115331325,2.757579383280802,-0.10270372965746605,0.07932445335176076,-0.6217826943519742,0.20712553415976273,NA,NA,NA,NA,NA,NA
Breast,Gompertz,None,Sex,Female,All,CPRD_GOLD,-3.056075346901868,-0.04592154070327105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5099573868151906,NA,NA,NA,NA,NA
Breast,Gompertz,None,Sex,Male,All,CPRD_GOLD,-3.056075346901868,-0.04592154070327105,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5099573868151906,NA,NA,NA,NA,NA
Breast,WeibullPH,None,Sex,Female,All,CPRD_GOLD,NA,-0.12397261447600567,-3.0168604221806734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5142260005228868,NA,NA,NA,NA,NA
Breast,WeibullPH,None,Sex,Male,All,CPRD_GOLD,NA,-0.12397261447600567,-3.0168604221806734,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5142260005228868,NA,NA,NA,NA,NA
Breast,Exponential,None,Sex,Female,All,CPRD_GOLD,-3.2529355442286754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5278398080771803,NA,NA,NA,NA,NA
Breast,Exponential,None,Sex,Male,All,CPRD_GOLD,-3.2529355442286754,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5278398080771803,NA,NA,NA,NA,NA
Breast,Log-logistic,None,Sex,Female,All,CPRD_GOLD,NA,-0.03425807033043466,3.1182830155426213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5793787780956092,NA,NA,NA,NA,NA
Breast,Log-logistic,None,Sex,Male,All,CPRD_GOLD,NA,-0.03425807033043466,3.1182830155426213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5793787780956092,NA,NA,NA,NA,NA
Breast,Log-normal,None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,3.3620920151242726,0.7180664048302078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.583164464266824,NA,NA,NA,NA,NA
Breast,Log-normal,None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,3.3620920151242726,0.7180664048302078,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.583164464266824,NA,NA,NA,NA,NA
Breast,Generalised Gamma,None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,NA,NA,3.4123051793272,0.3368697022686816,0.6761251642041575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5946222892833927,NA,NA,NA,NA,NA
Breast,Generalised Gamma,None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,3.4123051793272,0.3368697022686816,0.6761251642041575,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.5946222892833927,NA,NA,NA,NA,NA
Breast,Spline (1 knot),None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-2.715154887286105,1.0950283139662307,0.006978510288937562,-5.8998973535824915,1.097698629399435,2.9539109213947063,NA,NA,NA,NA,0.5254814512755382,NA,NA,NA,NA,NA
Breast,Spline (1 knot),None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-2.715154887286105,1.0950283139662307,0.006978510288937562,-5.8998973535824915,1.097698629399435,2.9539109213947063,NA,NA,NA,NA,0.5254814512755382,NA,NA,NA,NA,NA
Breast,Spline (3 knots),None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-3.1789846678548503,0.9141328099351271,-0.047331770119141366,-5.8998973535824915,0.27388875031944504,2.9539109213947063,0.09103527373503761,-0.03961155546492056,1.097698629399435,1.7583301725788603,0.5094860903942764,NA,NA,NA,NA,NA
Breast,Spline (3 knots),None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-3.1789846678548503,0.9141328099351271,-0.047331770119141366,-5.8998973535824915,0.27388875031944504,2.9539109213947063,0.09103527373503761,-0.03961155546492056,1.097698629399435,1.7583301725788603,0.5094860903942764,NA,NA,NA,NA,NA
Colorectal,Gompertz,None,Sex,Female,All,CPRD_GOLD,-1.577382626122486,-0.18554108775631045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04590001749007348,NA,NA,NA,NA,NA
Colorectal,Gompertz,None,Sex,Male,All,CPRD_GOLD,-1.577382626122486,-0.18554108775631045,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.04590001749007348,NA,NA,NA,NA,NA
Colorectal,WeibullPH,None,Sex,Female,All,CPRD_GOLD,NA,-0.40792809677987923,-1.5729927710118652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047781016736051736,NA,NA,NA,NA,NA
Colorectal,WeibullPH,None,Sex,Male,All,CPRD_GOLD,NA,-0.40792809677987923,-1.5729927710118652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.047781016736051736,NA,NA,NA,NA,NA
Colorectal,Exponential,None,Sex,Female,All,CPRD_GOLD,-2.1529642340685307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05388301593825238,NA,NA,NA,NA,NA
Colorectal,Exponential,None,Sex,Male,All,CPRD_GOLD,-2.1529642340685307,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.05388301593825238,NA,NA,NA,NA,NA
Colorectal,Log-logistic,None,Sex,Female,All,CPRD_GOLD,NA,-0.21617021910131154,1.7397051377727744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0331543996583482,NA,NA,NA,NA,NA
Colorectal,Log-logistic,None,Sex,Male,All,CPRD_GOLD,NA,-0.21617021910131154,1.7397051377727744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0331543996583482,NA,NA,NA,NA,NA
Colorectal,Log-normal,None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,1.7544710616631645,0.7822577993119709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007422362777091173,NA,NA,NA,NA,NA
Colorectal,Log-normal,None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,1.7544710616631645,0.7822577993119709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.007422362777091173,NA,NA,NA,NA,NA
Colorectal,Generalised Gamma,None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,NA,NA,1.8440412452033632,0.7466465812482453,0.12565970068431034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.016924247552504042,NA,NA,NA,NA,NA
Colorectal,Generalised Gamma,None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,1.8440412452033632,0.7466465812482453,0.12565970068431034,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.016924247552504042,NA,NA,NA,NA,NA
Colorectal,Spline (1 knot),None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.751375271097135,1.092881212726818,0.01184345918784747,-5.8998973535824915,0.302638163605431,2.9583290857825215,NA,NA,NA,NA,0.044714882906788024,NA,NA,NA,NA,NA
Colorectal,Spline (1 knot),None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.751375271097135,1.092881212726818,0.01184345918784747,-5.8998973535824915,0.302638163605431,2.9583290857825215,NA,NA,NA,NA,0.044714882906788024,NA,NA,NA,NA,NA
Colorectal,Spline (3 knots),None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.033976287083527755,1.3305049622885452,0.03714739924963532,-5.8998973535824915,-0.8436515482341834,2.9583290857825215,-0.04650267422996752,0.025688872487134362,0.302638163605431,1.1834904940428035,0.04538675711059447,NA,NA,NA,NA,NA
Colorectal,Spline (3 knots),None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,NA,NA,NA,NA,NA,-0.033976287083527755,1.3305049622885452,0.03714739924963532,-5.8998973535824915,-0.8436515482341834,2.9583290857825215,-0.04650267422996752,0.025688872487134362,0.302638163605431,1.1834904940428035,0.04538675711059447,NA,NA,NA,NA,NA
Head_and_neck,Gompertz,None,Sex,Female,All,CPRD_GOLD,-1.822235511019328,-0.14827185543449464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090171642011069,NA,NA,NA,NA,NA
Head_and_neck,Gompertz,None,Sex,Male,All,CPRD_GOLD,-1.822235511019328,-0.14827185543449464,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.090171642011069,NA,NA,NA,NA,NA
Head_and_neck,WeibullPH,None,Sex,Female,All,CPRD_GOLD,NA,-0.33233112024500494,-1.8094594023203812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09573343523311936,NA,NA,NA,NA,NA
Head_and_neck,WeibullPH,None,Sex,Male,All,CPRD_GOLD,NA,-0.33233112024500494,-1.8094594023203812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.09573343523311936,NA,NA,NA,NA,NA
Head_and_neck,Exponential,None,Sex,Female,All,CPRD_GOLD,-2.3147250724639377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10968458940739452,NA,NA,NA,NA,NA
Head_and_neck,Exponential,None,Sex,Male,All,CPRD_GOLD,-2.3147250724639377,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.10968458940739452,NA,NA,NA,NA,NA
Head_and_neck,Log-logistic,None,Sex,Female,All,CPRD_GOLD,NA,-0.15181381702942606,1.964798217145493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12042549887214557,NA,NA,NA,NA,NA
Head_and_neck,Log-logistic,None,Sex,Male,All,CPRD_GOLD,NA,-0.15181381702942606,1.964798217145493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.12042549887214557,NA,NA,NA,NA,NA
Head_and_neck,Log-normal,None,Sex,Female,All,CPRD_GOLD,NA,NA,NA,1.9884852677716471,0.7176724321857506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10535774075262648,NA,NA,NA,NA,NA
Head_and_neck,Log-normal,None,Sex,Male,All,CPRD_GOLD,NA,NA,NA,1.9884852677716471,0.7176724321857506,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.10535774075262648,NA,NA,NA,NA,NA
