trisk,df,logLik,AIC,BIC,Method,Cancer,Age,Sex,Stratification,Adjustment,Database
277108.994520548,3,-66342.46180948585,132690.9236189717,132717.80323079266,Generalised Gamma,Prostate,All,Male,None,None,CPRD_GOLD
277108.994520548,3,-66340.64063013541,132687.28126027083,132714.1608720918,Spline (1 knot),Prostate,All,Male,None,None,CPRD_GOLD
277108.994520548,5,-66318.71818245212,132647.43636490425,132692.23571793918,Spline (3 knots),Prostate,All,Male,None,None,CPRD_GOLD
10333.895890410959,2,-7064.098729962942,14132.197459925885,14145.60048542763,Gompertz,Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,2,-7395.820207654332,14795.640415308664,14809.04344081041,WeibullPH,Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,1,-8423.386934507509,16848.773869015018,16855.47538176589,Exponential,Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,2,-6978.3778872124585,13960.755774424917,13974.158799926663,Log-logistic,Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,2,-6973.90859142931,13951.81718285862,13965.220208360366,Log-normal,Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,3,-6953.738112804273,13913.476225608547,13933.580763861166,Generalised Gamma,Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,3,-6918.759516980595,13843.51903396119,13863.62357221381,Spline (1 knot),Stomach,All,Both,None,None,CPRD_GOLD
10333.895890410959,5,-6900.807126997417,13811.614253994834,13845.1218177492,Spline (3 knots),Stomach,All,Both,None,None,CPRD_GOLD
445377.30136986304,3,-73184.71322412022,146375.42644824044,146403.2332336938,Gompertz,Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,3,-73184.71322412022,146375.42644824044,146403.2332336938,Gompertz,Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,3,-73213.3126472683,146432.6252945366,146460.43207999,WeibullPH,Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,3,-73213.3126472683,146432.6252945366,146460.43207999,WeibullPH,Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,2,-73405.68329498456,146815.3665899691,146833.90444693805,Exponential,Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,2,-73405.68329498456,146815.3665899691,146833.90444693805,Exponential,Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,3,-73173.333480373,146352.666960746,146380.47374619936,Log-logistic,Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,3,-73173.333480373,146352.666960746,146380.47374619936,Log-logistic,Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,3,-73442.57292637043,146891.14585274085,146918.95263819423,Log-normal,Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,3,-73442.57292637043,146891.14585274085,146918.95263819423,Log-normal,Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,4,-73172.69402977097,146353.38805954193,146390.46377347977,Generalised Gamma,Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,4,-73172.69402977097,146353.38805954193,146390.46377347977,Generalised Gamma,Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,4,-73173.8701941817,146355.7403883634,146392.81610230124,Spline (1 knot),Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,4,-73173.8701941817,146355.7403883634,146392.81610230124,Spline (1 knot),Breast,All,Male,None,Sex,CPRD_GOLD
445377.30136986304,6,-73155.49064551148,146322.98129102297,146378.59486192974,Spline (3 knots),Breast,All,Female,None,Sex,CPRD_GOLD
445377.30136986304,6,-73155.49064551148,146322.98129102297,146378.59486192974,Spline (3 knots),Breast,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,3,-64272.43885138559,128550.87770277118,128577.06351937207,Gompertz,Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,3,-64272.43885138559,128550.87770277118,128577.06351937207,Gompertz,Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,3,-63938.216994260605,127882.43398852121,127908.6198051221,WeibullPH,Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,3,-63938.216994260605,127882.43398852121,127908.6198051221,WeibullPH,Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,2,-66934.36410802905,133872.7282160581,133890.18542712537,Exponential,Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,2,-66934.36410802905,133872.7282160581,133890.18542712537,Exponential,Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,3,-63606.99347425825,127219.9869485165,127246.17276511739,Log-logistic,Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,3,-63606.99347425825,127219.9869485165,127246.17276511739,Log-logistic,Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,3,-63445.56965732001,126897.13931464002,126923.32513124091,Log-normal,Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,3,-63445.56965732001,126897.13931464002,126923.32513124091,Log-normal,Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,4,-63434.63371133264,126877.26742266527,126912.1818447998,Generalised Gamma,Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,4,-63434.63371133264,126877.26742266527,126912.1818447998,Generalised Gamma,Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,4,-63447.07428796509,126902.14857593019,126937.0629980647,Spline (1 knot),Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,4,-63447.07428796509,126902.14857593019,126937.0629980647,Spline (1 knot),Colorectal,All,Male,None,Sex,CPRD_GOLD
179101.11232876714,6,-63406.23903754617,126824.47807509234,126876.84970829412,Spline (3 knots),Colorectal,All,Female,None,Sex,CPRD_GOLD
179101.11232876714,6,-63406.23903754617,126824.47807509234,126876.84970829412,Spline (3 knots),Colorectal,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,3,-14570.049929330513,29146.099858661026,29167.921493839367,Gompertz,Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,3,-14570.049929330513,29146.099858661026,29167.921493839367,Gompertz,Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,3,-14551.634335449831,29109.268670899663,29131.090306078004,WeibullPH,Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,3,-14551.634335449831,29109.268670899663,29131.090306078004,WeibullPH,Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,2,-14970.947686845042,29945.895373690084,29960.443130475644,Exponential,Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,2,-14970.947686845042,29945.895373690084,29960.443130475644,Exponential,Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,3,-14481.29667813343,28968.59335626686,28990.414991445203,Log-logistic,Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,3,-14481.29667813343,28968.59335626686,28990.414991445203,Log-logistic,Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,3,-14428.384276573366,28862.768553146732,28884.590188325074,Log-normal,Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,3,-14428.384276573366,28862.768553146732,28884.590188325074,Log-normal,Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,4,-14428.050477444298,28864.100954888596,28893.196468459715,Generalised Gamma,Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,4,-14428.050477444298,28864.100954888596,28893.196468459715,Generalised Gamma,Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,4,-14421.429591745858,28850.859183491717,28879.954697062836,Spline (1 knot),Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,4,-14421.429591745858,28850.859183491717,28879.954697062836,Spline (1 knot),Head_and_neck,All,Male,None,Sex,CPRD_GOLD
43366.95890410959,6,-14399.762114444482,28811.524228888964,28855.167499245646,Spline (3 knots),Head_and_neck,All,Female,None,Sex,CPRD_GOLD
43366.95890410959,6,-14399.762114444482,28811.524228888964,28855.167499245646,Spline (3 knots),Head_and_neck,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,3,-3058.7398065439893,6123.479613087979,6141.51168770537,Gompertz,Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,3,-3058.7398065439893,6123.479613087979,6141.51168770537,Gompertz,Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,3,-3113.3767032479145,6232.753406495829,6250.78548111322,WeibullPH,Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,3,-3113.3767032479145,6232.753406495829,6250.78548111322,WeibullPH,Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,2,-3553.9979259561524,7111.995851912305,7124.017234990565,Exponential,Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,2,-3553.9979259561524,7111.995851912305,7124.017234990565,Exponential,Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,3,-2988.068931555022,5982.137863110044,6000.169937727435,Log-logistic,Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,3,-2988.068931555022,5982.137863110044,6000.169937727435,Log-logistic,Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,3,-2970.9566604910447,5947.913320982089,5965.94539559948,Log-normal,Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,3,-2970.9566604910447,5947.913320982089,5965.94539559948,Log-normal,Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,4,-2970.117247396403,5948.234494792806,5972.277260949327,Generalised Gamma,Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,4,-2970.117247396403,5948.234494792806,5972.277260949327,Generalised Gamma,Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,4,-2976.071498094615,5960.14299618923,5984.185762345751,Spline (1 knot),Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,4,-2976.071498094615,5960.14299618923,5984.185762345751,Spline (1 knot),Liver,All,Male,None,Sex,CPRD_GOLD
3954.7643835616436,6,-2968.9970559421454,5949.994111884291,5986.058261119073,Spline (3 knots),Liver,All,Female,None,Sex,CPRD_GOLD
3954.7643835616436,6,-2968.9970559421454,5949.994111884291,5986.058261119073,Spline (3 knots),Liver,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,3,-35450.83552677912,70907.67105355824,70933.0863931861,Gompertz,Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,3,-35450.83552677912,70907.67105355824,70933.0863931861,Gompertz,Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,3,-36736.40810675741,73478.81621351482,73504.23155314267,WeibullPH,Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,3,-36736.40810675741,73478.81621351482,73504.23155314267,WeibullPH,Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,2,-41022.065587860336,82048.13117572067,82065.07473547258,Exponential,Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,2,-41022.065587860336,82048.13117572067,82065.07473547258,Exponential,Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,3,-34899.75765135483,69805.51530270965,69830.93064233751,Log-logistic,Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,3,-34899.75765135483,69805.51530270965,69830.93064233751,Log-logistic,Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,3,-34913.60951329459,69833.21902658918,69858.63436621704,Log-normal,Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,3,-34913.60951329459,69833.21902658918,69858.63436621704,Log-normal,Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,4,-34913.58228668193,69835.16457336386,69869.05169286767,Generalised Gamma,Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,4,-34913.58228668193,69835.16457336386,69869.05169286767,Generalised Gamma,Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,4,-34819.78093235157,69647.56186470314,69681.44898420695,Spline (1 knot),Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,4,-34819.78093235157,69647.56186470314,69681.44898420695,Spline (1 knot),Lung,All,Male,None,Sex,CPRD_GOLD
44615.42465753425,6,-34740.40176311642,69492.80352623283,69543.63420548853,Spline (3 knots),Lung,All,Female,None,Sex,CPRD_GOLD
44615.42465753425,6,-34740.40176311642,69492.80352623283,69543.63420548853,Spline (3 knots),Lung,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,3,-5253.367424305479,10512.734848610959,10533.718482885932,Gompertz,Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,3,-5253.367424305479,10512.734848610959,10533.718482885932,Gompertz,Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,3,-5789.735057804685,11585.47011560937,11606.453749884344,WeibullPH,Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,3,-5789.735057804685,11585.47011560937,11606.453749884344,WeibullPH,Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,2,-6902.0027142168865,13808.005428433773,13821.994517950421,Exponential,Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,2,-6902.0027142168865,13808.005428433773,13821.994517950421,Exponential,Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,3,-5123.447336724314,10252.894673448627,10273.8783077236,Log-logistic,Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,3,-5123.447336724314,10252.894673448627,10273.8783077236,Log-logistic,Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,3,-5144.102919233693,10294.205838467386,10315.189472742359,Log-normal,Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,3,-5144.102919233693,10294.205838467386,10315.189472742359,Log-normal,Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,4,-5135.011351833883,10278.022703667766,10306.000882701064,Generalised Gamma,Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,4,-5135.011351833883,10278.022703667766,10306.000882701064,Generalised Gamma,Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,4,-5099.988504203591,10207.977008407182,10235.95518744048,Spline (1 knot),Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,4,-5099.988504203591,10207.977008407182,10235.95518744048,Spline (1 knot),Pancreatic,All,Male,None,Sex,CPRD_GOLD
6904.035616438357,6,-5088.122297800168,10188.244595600336,10230.211864150282,Spline (3 knots),Pancreatic,All,Female,None,Sex,CPRD_GOLD
6904.035616438357,6,-5088.122297800168,10188.244595600336,10230.211864150282,Spline (3 knots),Pancreatic,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,3,-7063.8738936423615,14133.747787284723,14153.852325537342,Gompertz,Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,3,-7063.8738936423615,14133.747787284723,14153.852325537342,Gompertz,Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,3,-7395.507622414116,14797.015244828232,14817.11978308085,WeibullPH,Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,3,-7395.507622414116,14797.015244828232,14817.11978308085,WeibullPH,Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,2,-8422.755645082983,16849.511290165967,16862.914315667713,Exponential,Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,2,-8422.755645082983,16849.511290165967,16862.914315667713,Exponential,Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,3,-6977.8368424556365,13961.673684911273,13981.778223163892,Log-logistic,Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,3,-6977.8368424556365,13961.673684911273,13981.778223163892,Log-logistic,Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,3,-6973.208044041305,13952.41608808261,13972.520626335228,Log-normal,Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,3,-6973.208044041305,13952.41608808261,13972.520626335228,Log-normal,Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,4,-6952.062241453298,13912.124482906596,13938.930533910088,Generalised Gamma,Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,4,-6952.062241453298,13912.124482906596,13938.930533910088,Generalised Gamma,Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,4,-6918.6584178154335,13845.316835630867,13872.122886634359,Spline (1 knot),Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,4,-6918.6584178154335,13845.316835630867,13872.122886634359,Spline (1 knot),Stomach,All,Male,None,Sex,CPRD_GOLD
10333.895890410959,6,-6900.680865648055,13813.36173129611,13853.570807801349,Spline (3 knots),Stomach,All,Female,None,Sex,CPRD_GOLD
10333.895890410959,6,-6900.680865648055,13813.36173129611,13853.570807801349,Spline (3 knots),Stomach,All,Male,None,Sex,CPRD_GOLD
443164.9095890411,2,-72642.99133902875,145289.9826780575,145308.50914321435,Gompertz,Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,2,-72671.02960317787,145346.05920635574,145364.58567151258,WeibullPH,Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,1,-72865.5444154914,145733.0888309828,145742.35206356124,Exponential,Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,2,-72629.13071280227,145262.26142560455,145280.7878907614,Log-logistic,Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,2,-72890.67992066902,145785.35984133804,145803.88630649488,Log-normal,Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,3,-72628.97772663816,145263.9554532763,145291.7451510116,Generalised Gamma,Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,3,-72631.30880255284,145268.61760510568,145296.40730284096,Spline (1 knot),Breast,All,Female,Sex,None,CPRD_GOLD
443164.9095890411,5,-72613.1075299356,145236.2150598712,145282.53122276333,Spline (3 knots),Breast,All,Female,Sex,None,CPRD_GOLD
2212.391780821918,2,-540.1336120651295,1084.267224130259,1092.4633726945915,Gompertz,Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,2,-540.0808599556299,1084.1617199112598,1092.3578684755923,WeibullPH,Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,1,-540.1388794931461,1082.2777589862922,1086.3758332684583,Exponential,Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,2,-540.2195487469186,1084.4390974938372,1092.6352460581697,Log-logistic,Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,2,-546.1588127416744,1096.3176254833488,1104.5137740476814,Log-normal,Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,3,-539.9940611013903,1085.9881222027807,1098.2823450492795,Generalised Gamma,Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,3,-540.0684117541027,1086.1368235082055,1098.4310463547042,Spline (1 knot),Breast,All,Male,Sex,None,CPRD_GOLD
2212.391780821918,5,-539.6755655495148,1089.3511310990295,1109.8415025098607,Spline (3 knots),Breast,All,Male,Sex,None,CPRD_GOLD
80291.45479452054,2,-28034.490314150695,56072.98062830139,56088.82799282103,Gompertz,Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,2,-27779.31720235883,55562.63440471766,55578.4817692373,WeibullPH,Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,1,-29401.391479735445,58804.78295947089,58812.706641730714,Exponential,Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,2,-27622.141957788284,55248.28391557657,55264.13128009621,Log-logistic,Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,2,-27506.000228921206,55016.00045784241,55031.847822362055,Log-normal,Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,3,-27505.919876008466,55017.83975201693,55041.6107987964,Generalised Gamma,Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,3,-27516.449097720815,55038.89819544163,55062.6692422211,Spline (1 knot),Colorectal,All,Female,Sex,None,CPRD_GOLD
80291.45479452054,5,-27483.382142816477,54976.764285632955,55016.382696932065,Spline (3 knots),Colorectal,All,Female,Sex,None,CPRD_GOLD
98809.65753424658,2,-36219.430129925255,72442.86025985051,72459.13223424806,Gompertz,Colorectal,All,Male,Sex,None,CPRD_GOLD
98809.65753424658,2,-36134.41080305001,72272.82160610001,72289.09358049756,WeibullPH,Colorectal,All,Male,Sex,None,CPRD_GOLD
98809.65753424658,1,-37532.97262829362,75067.94525658723,75076.08124378601,Exponential,Colorectal,All,Male,Sex,None,CPRD_GOLD
