"time","n.risk","n.event","n.censor","est","std.error","ucl","lcl","Method","Cancer","Age","Gender"
0.008,9798,29,3,0.9937,0.000803202291785374,0.99526,0.99213,"Observed","StomachCancer","All","Both"
0.011,110600,13,27,0.99956,6.32704459057503e-05,0.99968,0.99943,"Observed","BreastCancer","All","Both"
0.011,71776,69,20,0.997,0.000204574401095639,0.9974,0.9966,"Observed","ColorectalCancer","All","Both"
0.011,15663,10,8,0.99866,0.000292518760682341,0.99923,0.99809,"Observed","HeadNeckCancer","All","Both"
0.011,5650,14,2,0.98947,0.00136622653791486,0.99213,0.98683,"Observed","LiverCancer","All","Both"
0.011,67760,190,50,0.98962,0.000391772648583232,0.99038,0.98886,"Observed","LungCancer","All","Both"
0.011,15022,75,12,0.98344,0.00105214352459082,0.98547,0.98141,"Observed","PancreaticCancer","All","Both"
0.011,95770,9,25,0.99953,7.00222766886732e-05,0.99967,0.99939,"Observed","ProstateCancer","All","Both"
0.011,9766,21,5,0.99156,0.000930479691860031,0.99337,0.98975,"Observed","StomachCancer","All","Both"
0.014,110560,16,29,0.99941,7.28854676105635e-05,0.99956,0.99927,"Observed","BreastCancer","All","Both"
0.014,71687,58,25,0.99619,0.000230534183473612,0.99664,0.99574,"Observed","ColorectalCancer","All","Both"
0.014,15645,3,5,0.99847,0.000312771768349386,0.99908,0.99786,"Observed","HeadNeckCancer","All","Both"
0.014,5634,14,2,0.98701,0.00151945065598431,0.98996,0.98408,"Observed","LiverCancer","All","Both"
0.014,67520,203,52,0.98665,0.000445138044315607,0.98751,0.98579,"Observed","LungCancer","All","Both"
0.014,14935,75,7,0.9785,0.00120205829727663,0.98081,0.9762,"Observed","PancreaticCancer","All","Both"
0.014,95736,13,32,0.99939,7.95090718451508e-05,0.99955,0.99924,"Observed","ProstateCancer","All","Both"
0.014,9740,16,6,0.98993,0.0010172148602758,0.99191,0.98796,"Observed","StomachCancer","All","Both"
0.016,110515,12,21,0.9993,7.93404826088581e-05,0.99946,0.99915,"Observed","BreastCancer","All","Both"
0.016,71604,61,14,0.99534,0.000255056154069166,0.99584,0.99485,"Observed","ColorectalCancer","All","Both"
0.016,15637,6,3,0.99809,0.000349819800569801,0.99877,0.9974,"Observed","HeadNeckCancer","All","Both"
0.016,5618,20,0,0.9835,0.00171600383445414,0.98681,0.9802,"Observed","LiverCancer","All","Both"
0.016,67265,216,31,0.98348,0.000496025107143849,0.98444,0.98252,"Observed","LungCancer","All","Both"
0.016,14853,60,2,0.97455,0.00131073202424428,0.97705,0.97205,"Observed","PancreaticCancer","All","Both"
0.016,95691,22,9,0.99916,9.34068498235601e-05,0.99935,0.99898,"Observed","ProstateCancer","All","Both"
0.016,9718,31,2,0.98677,0.00116791649082063,0.98903,0.98452,"Observed","StomachCancer","All","Both"
0.019,110482,18,15,0.99914,8.81464925821583e-05,0.99931,0.99897,"Observed","BreastCancer","All","Both"
0.019,71529,67,15,0.99441,0.000279573013332093,0.99496,0.99387,"Observed","ColorectalCancer","All","Both"
0.019,15628,9,3,0.99751,0.00039905510250699,0.99829,0.99673,"Observed","HeadNeckCancer","All","Both"
0.019,5598,22,2,0.97964,0.00191035886354574,0.98331,0.97597,"Observed","LiverCancer","All","Both"
0.019,67018,259,31,0.97968,0.000551298676702973,0.98074,0.97862,"Observed","LungCancer","All","Both"
0.019,14791,75,8,0.9696,0.00143617048082992,0.97234,0.96688,"Observed","PancreaticCancer","All","Both"
0.019,95660,13,5,0.99903,0.000100725706615284,0.99923,0.99883,"Observed","ProstateCancer","All","Both"
0.019,9685,29,3,0.98382,0.00129388116342492,0.98632,0.98133,"Observed","StomachCancer","All","Both"
0.022,110449,27,22,0.9989,9.99181908001113e-05,0.99909,0.9987,"Observed","BreastCancer","All","Both"
0.022,71447,47,29,0.99376,0.000295591574684246,0.99433,0.99318,"Observed","ColorectalCancer","All","Both"
0.022,15616,4,10,0.99726,0.000419108659134431,0.99808,0.99644,"Observed","HeadNeckCancer","All","Both"
0.022,5574,17,9,0.97665,0.00204897674109657,0.98058,0.97273,"Observed","LiverCancer","All","Both"
0.022,66728,223,52,0.9764,0.000595131053135992,0.97754,0.97527,"Observed","LungCancer","All","Both"
0.022,14708,69,15,0.96506,0.00154371409236649,0.96798,0.96214,"Observed","PancreaticCancer","All","Both"
0.022,95642,10,42,0.99892,0.0001060141030076,0.99913,0.99872,"Observed","ProstateCancer","All","Both"
0.022,9653,28,4,0.98096,0.00140552302500848,0.98367,0.97827,"Observed","StomachCancer","All","Both"
0.025,110400,18,7,0.99873,0.000107054793362362,0.99894,0.99852,"Observed","BreastCancer","All","Both"
0.025,71371,56,14,0.99298,0.000313650644107474,0.99359,0.99237,"Observed","ColorectalCancer","All","Both"
0.025,15602,7,2,0.99681,0.000452130039935846,0.99769,0.99593,"Observed","HeadNeckCancer","All","Both"
0.025,5548,25,1,0.97225,0.00223923868023816,0.97652,0.96799,"Observed","LiverCancer","All","Both"
0.025,66453,210,23,0.97332,0.000633944839407276,0.97453,0.97211,"Observed","LungCancer","All","Both"
0.025,14624,70,7,0.96044,0.00164679759139843,0.96354,0.95734,"Observed","PancreaticCancer","All","Both"
0.025,95590,14,9,0.99878,0.000113010490276444,0.999,0.99856,"Observed","ProstateCancer","All","Both"
0.025,9621,19,1,0.97903,0.00147687688134998,0.98186,0.9762,"Observed","StomachCancer","All","Both"
0.027,110375,22,9,0.99854,0.000115182190573955,0.99876,0.99831,"Observed","BreastCancer","All","Both"
0.027,71301,65,18,0.99207,0.00033342768692684,0.99272,0.99142,"Observed","ColorectalCancer","All","Both"
0.027,15593,6,2,0.99642,0.000478652322100414,0.99736,0.99549,"Observed","HeadNeckCancer","All","Both"
0.027,5522,30,2,0.96696,0.0024501863473779,0.97162,0.96233,"Observed","LiverCancer","All","Both"
0.027,66220,219,27,0.9701,0.000672304807447911,0.97138,0.96882,"Observed","LungCancer","All","Both"
0.027,14547,81,3,0.95509,0.00175978856279845,0.95839,0.9518,"Observed","PancreaticCancer","All","Both"
0.027,95567,11,5,0.99866,0.00011821982189477,0.99889,0.99843,"Observed","ProstateCancer","All","Both"
0.027,9601,21,6,0.97689,0.00155225056996991,0.97986,0.97392,"Observed","StomachCancer","All","Both"
0.03,110344,13,48,0.99842,0.000119727835632264,0.99865,0.99818,"Observed","BreastCancer","All","Both"
0.03,71218,57,25,0.99128,0.000349887391488348,0.99196,0.9906,"Observed","ColorectalCancer","All","Both"
0.03,15585,8,2,0.99591,0.000511919309533997,0.99691,0.99491,"Observed","HeadNeckCancer","All","Both"
0.03,5490,16,2,0.96415,0.00255652479337937,0.96899,0.95933,"Observed","LiverCancer","All","Both"
0.03,65974,252,58,0.96639,0.000714221671652761,0.96775,0.96504,"Observed","LungCancer","All","Both"
0.03,14463,70,16,0.95047,0.00185286965114263,0.95392,0.94702,"Observed","PancreaticCancer","All","Both"
0.03,95551,20,49,0.99845,0.000127149388279139,0.9987,0.99821,"Observed","ProstateCancer","All","Both"
0.03,9574,27,8,0.97413,0.00164465103331783,0.97728,0.971,"Observed","StomachCancer","All","Both"
0.033,110283,10,54,0.99833,0.000123113928457284,0.99857,0.99809,"Observed","BreastCancer","All","Both"
0.033,71136,57,35,0.99048,0.000365642319879191,0.99119,0.98977,"Observed","ColorectalCancer","All","Both"
0.033,15575,3,7,0.99572,0.000523861417101981,0.99674,0.9947,"Observed","HeadNeckCancer","All","Both"
0.033,5472,17,10,0.96115,0.00266558395779708,0.96619,0.95614,"Observed","LiverCancer","All","Both"
0.033,65664,239,46,0.96288,0.000752160137966975,0.9643,0.96146,"Observed","LungCancer","All","Both"
0.033,14377,68,15,0.94597,0.00194001843437056,0.94957,0.94238,"Observed","PancreaticCancer","All","Both"
0.033,95482,15,38,0.9983,0.000133463618174554,0.99856,0.99804,"Observed","ProstateCancer","All","Both"
0.033,9539,16,1,0.9725,0.00169735414184548,0.97574,0.96927,"Observed","StomachCancer","All","Both"
0.036,110219,25,64,0.9981,0.000131207543888303,0.99836,0.99784,"Observed","BreastCancer","All","Both"
0.036,71044,66,48,0.98956,0.000383122556541027,0.99031,0.98882,"Observed","ColorectalCancer","All","Both"
0.036,15565,12,9,0.99495,0.000569210570551519,0.99606,0.99384,"Observed","HeadNeckCancer","All","Both"
0.036,5445,20,2,0.95762,0.0027896963924079,0.96287,0.9524,"Observed","LiverCancer","All","Both"
0.036,65379,243,47,0.9593,0.000789181134699281,0.96078,0.95782,"Observed","LungCancer","All","Both"
0.036,14294,96,7,0.93962,0.00205832535492774,0.94341,0.93583,"Observed","PancreaticCancer","All","Both"
0.036,95429,20,57,0.99809,0.000141453824312555,0.99837,0.99781,"Observed","ProstateCancer","All","Both"
0.036,9522,29,3,0.96953,0.00178936712458818,0.97294,0.96614,"Observed","StomachCancer","All","Both"
0.038,110130,16,53,0.99796,0.000136142592046827,0.99822,0.99769,"Observed","BreastCancer","All","Both"
0.038,70930,78,43,0.98847,0.000402869255574461,0.98926,0.98769,"Observed","ColorectalCancer","All","Both"
0.038,15544,12,11,0.99419,0.000611313866529096,0.99538,0.99299,"Observed","HeadNeckCancer","All","Both"
0.038,5423,35,0,0.95144,0.00299670679112195,0.95705,0.94587,"Observed","LiverCancer","All","Both"
0.038,65089,258,61,0.9555,0.000827011136381191,0.95705,0.95395,"Observed","LungCancer","All","Both"
0.038,14191,87,15,0.93386,0.00216133698358205,0.93782,0.92991,"Observed","PancreaticCancer","All","Both"
0.038,95352,14,60,0.99794,0.000146796543178602,0.99823,0.99765,"Observed","ProstateCancer","All","Both"
0.038,9490,31,3,0.96637,0.00188339517555772,0.96994,0.96281,"Observed","StomachCancer","All","Both"
0.041,110061,20,51,0.99777,0.000142078029011898,0.99805,0.9975,"Observed","BreastCancer","All","Both"
0.041,70809,67,47,0.98754,0.000419140913934617,0.98835,0.98673,"Observed","ColorectalCancer","All","Both"
0.041,15521,6,3,0.9938,0.000631364179029652,0.99503,0.99257,"Observed","HeadNeckCancer","All","Both"
0.041,5388,17,6,0.94844,0.00309316911905862,0.95421,0.94271,"Observed","LiverCancer","All","Both"
0.041,64770,250,43,0.95181,0.000862421538881956,0.95342,0.9502,"Observed","LungCancer","All","Both"
0.041,14089,73,12,0.92902,0.00224522856238355,0.93311,0.92494,"Observed","PancreaticCancer","All","Both"
0.041,95278,18,55,0.99775,0.000153402861097895,0.99805,0.99745,"Observed","ProstateCancer","All","Both"
0.041,9456,25,2,0.96381,0.00195640250430796,0.96752,0.96012,"Observed","StomachCancer","All","Both"
0.044,109990,18,9,0.99761,0.00014722188585994,0.9979,0.99732,"Observed","BreastCancer","All","Both"
0.044,70695,75,8,0.98649,0.000436694054238381,0.98734,0.98565,"Observed","ColorectalCancer","All","Both"
0.044,15512,11,3,0.9931,0.000666609327535969,0.99439,0.9918,"Observed","HeadNeckCancer","All","Both"
0.044,5365,26,2,0.94384,0.00323657196008269,0.94985,0.93787,"Observed","LiverCancer","All","Both"
0.044,64477,257,32,0.94801,0.000897684530926182,0.94968,0.94635,"Observed","LungCancer","All","Both"
0.044,14004,90,7,0.92305,0.00234583484845946,0.9273,0.91881,"Observed","PancreaticCancer","All","Both"
0.044,95205,18,3,0.99756,0.000159745714410619,0.99788,0.99725,"Observed","ProstateCancer","All","Both"
0.044,9429,30,3,0.96075,0.0020410837027027,0.9646,0.95691,"Observed","StomachCancer","All","Both"
0.047,109963,19,11,0.99744,0.000152465930742915,0.99774,0.99714,"Observed","BreastCancer","All","Both"
0.047,70612,71,18,0.9855,0.000452720383067726,0.98637,0.98463,"Observed","ColorectalCancer","All","Both"
0.047,15498,12,2,0.99233,0.000703112774070794,0.9937,0.99096,"Observed","HeadNeckCancer","All","Both"
0.047,5337,27,1,0.93907,0.00338055215580378,0.94531,0.93287,"Observed","LiverCancer","All","Both"
0.047,64188,249,23,0.94434,0.000930864280630035,0.94606,0.94261,"Observed","LungCancer","All","Both"
0.047,13907,68,7,0.91853,0.00241997173373156,0.9229,0.91419,"Observed","PancreaticCancer","All","Both"
0.047,95184,11,9,0.99745,0.000163502178759283,0.99777,0.99713,"Observed","ProstateCancer","All","Both"
0.047,9396,39,3,0.95676,0.00214700162382908,0.96079,0.95274,"Observed","StomachCancer","All","Both"
0.049,109933,18,45,0.99728,0.000157275303473495,0.99758,0.99697,"Observed","BreastCancer","All","Both"
0.049,70523,68,29,0.98455,0.000467591085414168,0.98545,0.98365,"Observed","ColorectalCancer","All","Both"
0.049,15484,9,6,0.99175,0.000729333834154489,0.99317,0.99033,"Observed","HeadNeckCancer","All","Both"
0.049,5309,25,6,0.93465,0.00350988759282053,0.9411,0.92824,"Observed","LiverCancer","All","Both"
0.049,63916,246,53,0.9407,0.000962786333757894,0.94248,0.93893,"Observed","LungCancer","All","Both"
0.049,13832,81,15,0.91315,0.00250641619051494,0.91765,0.90868,"Observed","PancreaticCancer","All","Both"
0.049,95164,12,30,0.99732,0.000167505792618198,0.99765,0.997,"Observed","ProstateCancer","All","Both"
0.049,9354,31,3,0.95359,0.00222824833218672,0.95776,0.94943,"Observed","StomachCancer","All","Both"
0.052,109870,16,51,0.99713,0.000161434690198312,0.99745,0.99681,"Observed","BreastCancer","All","Both"
0.052,70426,72,45,0.98354,0.000482879830773459,0.98447,0.98261,"Observed","ColorectalCancer","All","Both"
0.052,15469,9,10,0.99117,0.000754692659129471,0.99264,0.98971,"Observed","HeadNeckCancer","All","Both"
0.052,5278,17,3,0.93163,0.00359604451574919,0.93822,0.92509,"Observed","LiverCancer","All","Both"
0.052,63617,245,57,0.93708,0.000993845259049769,0.93891,0.93526,"Observed","LungCancer","All","Both"
0.052,13736,83,14,0.90764,0.00259320265622222,0.91226,0.90304,"Observed","PancreaticCancer","All","Both"
0.052,95122,13,45,0.99719,0.000171741484815039,0.99752,0.99685,"Observed","ProstateCancer","All","Both"
0.052,9320,23,7,0.95123,0.00228703570038093,0.95551,0.94698,"Observed","StomachCancer","All","Both"
0.055,109803,18,52,0.99697,0.000165995029915157,0.99729,0.99664,"Observed","BreastCancer","All","Both"
0.055,70309,81,23,0.98241,0.000499577282477259,0.98337,0.98145,"Observed","ColorectalCancer","All","Both"
0.055,15450,7,7,0.99072,0.000773885978894489,0.99223,0.98922,"Observed","HeadNeckCancer","All","Both"
0.055,5258,30,3,0.92632,0.00374471477897347,0.93314,0.91955,"Observed","LiverCancer","All","Both"
0.055,63315,256,55,0.93329,0.00102559608529662,0.93517,0.93142,"Observed","LungCancer","All","Both"
0.055,13639,95,14,0.90131,0.00269053405443683,0.90608,0.89657,"Observed","PancreaticCancer","All","Both"
0.055,95064,20,42,0.99698,0.000178069331839331,0.99733,0.99663,"Observed","ProstateCancer","All","Both"
0.055,9290,26,3,0.94857,0.00235215605600366,0.95295,0.94421,"Observed","StomachCancer","All","Both"
0.058,109733,20,54,0.99678,0.000170925710910861,0.99712,0.99645,"Observed","BreastCancer","All","Both"
0.058,70205,66,26,0.98149,0.000512816636466112,0.98247,0.9805,"Observed","ColorectalCancer","All","Both"
0.058,15436,12,6,0.98995,0.000805792593918341,0.99152,0.98839,"Observed","HeadNeckCancer","All","Both"
0.058,5225,20,3,0.92277,0.00384165168395233,0.92975,0.91585,"Observed","LiverCancer","All","Both"
0.058,63004,299,52,0.92886,0.00106185252052844,0.9308,0.92693,"Observed","LungCancer","All","Both"
0.058,13530,93,13,0.89512,0.00278397509134941,0.90002,0.89025,"Observed","PancreaticCancer","All","Both"
0.058,95002,24,47,0.99673,0.000185387504161774,0.99709,0.99636,"Observed","ProstateCancer","All","Both"
0.058,9261,39,6,0.94458,0.00244730181202975,0.94912,0.94006,"Observed","StomachCancer","All","Both"
0.06,109659,18,53,0.99662,0.000175250431972448,0.99696,0.99628,"Observed","BreastCancer","All","Both"
0.06,70113,69,43,0.98052,0.000526337352514797,0.98153,0.97951,"Observed","ColorectalCancer","All","Both"
0.06,15418,8,5,0.98944,0.000826421780726212,0.99104,0.98784,"Observed","HeadNeckCancer","All","Both"
0.06,5202,22,6,0.91887,0.00394648254315279,0.92601,0.91179,"Observed","LiverCancer","All","Both"
0.06,62653,251,49,0.92514,0.00109166410859772,0.92712,0.92316,"Observed","LungCancer","All","Both"
0.06,13424,92,11,0.88899,0.00287481712156648,0.89401,0.88399,"Observed","PancreaticCancer","All","Both"
0.06,94931,24,34,0.99647,0.000192437904526287,0.99685,0.9961,"Observed","ProstateCancer","All","Both"
0.06,9216,32,5,0.9413,0.00252336266444648,0.94596,0.93665,"Observed","StomachCancer","All","Both"
0.063,109588,15,7,0.99648,0.000178778894155834,0.99683,0.99614,"Observed","BreastCancer","All","Both"
0.063,70001,77,17,0.97944,0.000541074994251469,0.98048,0.9784,"Observed","ColorectalCancer","All","Both"
0.063,15405,13,1,0.98861,0.000858952247713326,0.99027,0.98694,"Observed","HeadNeckCancer","All","Both"
0.063,5174,25,3,0.91443,0.00406363510703007,0.92174,0.90718,"Observed","LiverCancer","All","Both"
0.063,62353,250,30,0.92143,0.00112084410164171,0.92346,0.91941,"Observed","LungCancer","All","Both"
0.063,13321,78,7,0.88378,0.00295071606231196,0.88891,0.87868,"Observed","PancreaticCancer","All","Both"
0.063,94873,11,9,0.99636,0.000195587808174289,0.99674,0.99598,"Observed","ProstateCancer","All","Both"
0.063,9179,32,3,0.93802,0.00259778590125259,0.9428,0.93325,"Observed","StomachCancer","All","Both"
0.066,109566,20,12,0.9963,0.000183379961138692,0.99666,0.99594,"Observed","BreastCancer","All","Both"
0.066,69907,80,26,0.97832,0.000556013402239505,0.97939,0.97726,"Observed","ColorectalCancer","All","Both"
0.066,15391,9,3,0.98803,0.000880803413191625,0.98973,0.98632,"Observed","HeadNeckCancer","All","Both"
0.066,5146,20,1,0.91088,0.00415587854705823,0.91833,0.90349,"Observed","LiverCancer","All","Both"
0.066,62073,262,22,0.91754,0.00115090298248143,0.91961,0.91547,"Observed","LungCancer","All","Both"
0.066,13236,89,4,0.87784,0.00303614546540839,0.88308,0.87263,"Observed","PancreaticCancer","All","Both"
0.066,94853,19,5,0.99616,0.000200914925655752,0.99655,0.99577,"Observed","ProstateCancer","All","Both"
0.066,9144,39,1,0.93402,0.00268643362489819,0.93895,0.92911,"Observed","StomachCancer","All","Both"
0.068,109534,23,54,0.99609,0.00018853553331985,0.99646,0.99573,"Observed","BreastCancer","All","Both"
0.068,69801,71,26,0.97733,0.00056898003024832,0.97842,0.97624,"Observed","ColorectalCancer","All","Both"
0.068,15379,9,6,0.98745,0.000902158360924216,0.9892,0.9857,"Observed","HeadNeckCancer","All","Both"
0.068,5125,21,2,0.90714,0.00425136921105058,0.91474,0.89962,"Observed","LiverCancer","All","Both"
0.068,61789,260,37,0.91368,0.0011802398300383,0.9158,0.91157,"Observed","LungCancer","All","Both"
0.068,13143,85,6,0.87216,0.00311664175405874,0.8775,0.86685,"Observed","PancreaticCancer","All","Both"
0.068,94829,20,35,0.99595,0.000206376700313388,0.99635,0.99555,"Observed","ProstateCancer","All","Both"
0.068,9104,33,5,0.93063,0.00275980553334577,0.93568,0.92561,"Observed","StomachCancer","All","Both"
0.071,109457,15,46,0.99596,0.000191827574882424,0.99633,0.99558,"Observed","BreastCancer","All","Both"
0.071,69704,63,39,0.97644,0.000580272846204927,0.97755,0.97533,"Observed","ColorectalCancer","All","Both"
0.071,15364,13,7,0.98661,0.000932206437302363,0.98842,0.98481,"Observed","HeadNeckCancer","All","Both"
0.071,5102,18,3,0.90394,0.00433221507988407,0.91165,0.8963,"Observed","LiverCancer","All","Both"
0.071,61492,237,59,0.91016,0.00120660100262219,0.91231,0.90801,"Observed","LungCancer","All","Both"
0.071,13052,103,18,0.86528,0.0032129248299466,0.87074,0.85985,"Observed","PancreaticCancer","All","Both"
0.071,94774,23,58,0.99571,0.0002124914333573,0.99612,0.99529,"Observed","ProstateCancer","All","Both"
0.071,9066,31,3,0.92745,0.00282754039708237,0.9326,0.92232,"Observed","StomachCancer","All","Both"
0.074,109396,21,55,0.99577,0.000196348949778486,0.99615,0.99538,"Observed","BreastCancer","All","Both"
0.074,69602,79,43,0.97533,0.000594173767610675,0.97647,0.9742,"Observed","ColorectalCancer","All","Both"
0.074,15344,7,9,0.98616,0.00094802647023539,0.988,0.98433,"Observed","HeadNeckCancer","All","Both"
0.074,5081,16,5,0.9011,0.00440338534397289,0.90891,0.89335,"Observed","LiverCancer","All","Both"
0.074,61196,270,40,0.90614,0.00123624535109391,0.90834,0.90395,"Observed","LungCancer","All","Both"
0.074,12931,85,10,0.85959,0.00329159384833465,0.86515,0.85406,"Observed","PancreaticCancer","All","Both"
0.074,94693,13,48,0.99557,0.000215876368930866,0.99599,0.99515,"Observed","ProstateCancer","All","Both"
0.074,9032,34,5,0.92396,0.00290057642279654,0.92922,0.91872,"Observed","StomachCancer","All","Both"
0.077,109320,17,40,0.99561,0.000199939047725482,0.996,0.99522,"Observed","BreastCancer","All","Both"
0.077,69480,76,48,0.97427,0.000607291478907491,0.97543,0.97311,"Observed","ColorectalCancer","All","Both"
0.077,15328,5,11,0.98584,0.000959188446028826,0.9877,0.98399,"Observed","HeadNeckCancer","All","Both"
0.077,5060,20,4,0.89754,0.00449155233768794,0.90547,0.88967,"Observed","LiverCancer","All","Both"
0.077,60886,289,53,0.90184,0.00126753018714754,0.90409,0.8996,"Observed","LungCancer","All","Both"
0.077,12836,88,19,0.8537,0.00337229563009127,0.85936,0.84807,"Observed","PancreaticCancer","All","Both"
0.077,94632,17,39,0.99539,0.000220230068049549,0.99582,0.99496,"Observed","ProstateCancer","All","Both"
0.077,8993,39,5,0.91995,0.00298289713472504,0.92534,0.91459,"Observed","StomachCancer","All","Both"
0.079,109263,30,44,0.99534,0.000206129114483222,0.99574,0.99494,"Observed","BreastCancer","All","Both"
0.079,69356,65,50,0.97335,0.000618327109402102,0.97453,0.97218,"Observed","ColorectalCancer","All","Both"
0.079,15312,9,11,0.98526,0.000979005395474367,0.98716,0.98337,"Observed","HeadNeckCancer","All","Both"
0.079,5036,22,0,0.89362,0.00458751699070574,0.90169,0.88562,"Observed","LiverCancer","All","Both"
0.079,60544,238,41,0.8983,0.00129298778924094,0.90058,0.89602,"Observed","LungCancer","All","Both"
0.079,12729,69,14,0.84907,0.00343519324228382,0.8548,0.84337,"Observed","PancreaticCancer","All","Both"
0.079,94576,11,39,0.99528,0.000223004967394744,0.99571,0.99484,"Observed","ProstateCancer","All","Both"
0.079,8949,33,4,0.91656,0.00305143649615748,0.92205,0.91109,"Observed","StomachCancer","All","Both"
0.082,109189,21,15,0.99515,0.000210359133316404,0.99556,0.99474,"Observed","BreastCancer","All","Both"
0.082,69241,73,17,0.97233,0.000630532194082755,0.97353,0.97113,"Observed","ColorectalCancer","All","Both"
0.082,15292,15,4,0.9843,0.00101126629886171,0.98625,0.98235,"Observed","HeadNeckCancer","All","Both"
0.082,5014,18,0,0.89041,0.00466517701921771,0.89859,0.8823,"Observed","LiverCancer","All","Both"
0.082,60265,227,29,0.89491,0.00131702542629542,0.89723,0.89261,"Observed","LungCancer","All","Both"
0.082,12646,86,8,0.84329,0.00351311816142457,0.84912,0.83751,"Observed","PancreaticCancer","All","Both"
0.082,94526,16,7,0.99511,0.000226985013424891,0.99555,0.99466,"Observed","ProstateCancer","All","Both"
0.082,8912,32,5,0.91327,0.00311698873512029,0.91886,0.9077,"Observed","StomachCancer","All","Both"
0.085,109153,12,19,0.99504,0.000212739893302576,0.99545,0.99462,"Observed","BreastCancer","All","Both"
0.085,69151,81,20,0.97119,0.000643839828742127,0.97242,0.96996,"Observed","ColorectalCancer","All","Both"
0.085,15273,8,5,0.98378,0.00102809208151823,0.98576,0.9818,"Observed","HeadNeckCancer","All","Both"
0.085,4996,17,3,0.88738,0.00473785725811273,0.89566,0.87918,"Observed","LiverCancer","All","Both"
0.085,60009,251,23,0.89117,0.00134333541917178,0.89352,0.88883,"Observed","LungCancer","All","Both"
0.085,12552,81,5,0.83785,0.0035860078216412,0.84376,0.83198,"Observed","PancreaticCancer","All","Both"
0.085,94503,17,22,0.99493,0.000231140779737161,0.99538,0.99448,"Observed","ProstateCancer","All","Both"
0.085,8875,34,4,0.90977,0.00318573997748916,0.91547,0.9041,"Observed","StomachCancer","All","Both"
0.088,109122,21,44,0.99485,0.000216845981310243,0.99527,0.99442,"Observed","BreastCancer","All","Both"
0.088,69050,78,28,0.97009,0.000656435541957006,0.97134,0.96884,"Observed","ColorectalCancer","All","Both"
0.088,15260,5,4,0.98346,0.00103848533643251,0.98546,0.98146,"Observed","HeadNeckCancer","All","Both"
0.088,4976,19,3,0.88399,0.00481846256474796,0.89238,0.87568,"Observed","LiverCancer","All","Both"
0.088,59735,241,47,0.88757,0.00136834329323705,0.88996,0.8852,"Observed","LungCancer","All","Both"
0.088,12466,84,12,0.83221,0.0036611003316671,0.8382,0.82626,"Observed","PancreaticCancer","All","Both"
0.088,94464,21,47,0.99471,0.00023617775918689,0.99517,0.99425,"Observed","ProstateCancer","All","Both"
0.088,8837,24,3,0.9073,0.00323374453393555,0.91306,0.90156,"Observed","StomachCancer","All","Both"
0.09,109057,18,56,0.99468,0.000220308579398116,0.99511,0.99425,"Observed","BreastCancer","All","Both"
